SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	inbred	pa1	pa2	paired	spots	avgLength
bm282	Leaf	MoGxB73	""	1	m266	FALSE	MoG	B73	TRUE	28148264	302
bm283	Leaf	MoGxMo17	""	1	m267	FALSE	MoG	Mo17	TRUE	29624562	302
bm284	Leaf	NKH8431xB73	""	1	m268	FALSE	NKH8431	B73	TRUE	42629540	302
bm285	Leaf	NKS8326xB73	""	1	m269	FALSE	NKS8326	B73	TRUE	48172928	302
bm286	Leaf	NKS8326xMo17	""	1	m270	FALSE	NKS8326	Mo17	TRUE	48038462	302
bm287	Leaf	Oh43xB73	""	1	m271	FALSE	Oh43	B73	TRUE	51276266	302
bm288	Leaf	PH207xB73	""	1	m272	FALSE	PH207	B73	TRUE	45517421	302
bm289	Leaf	PHB47xB73	""	1	m273	FALSE	PHB47	B73	TRUE	46868013	302
bm290	Leaf	PHB47xMo17	""	1	m274	FALSE	PHB47	Mo17	TRUE	42333560	302
bm291	Leaf	PHG29xB73	""	1	m275	FALSE	PHG29	B73	TRUE	49954207	302
bm292	Leaf	PHG35xB73	""	1	m276	FALSE	PHG35	B73	TRUE	31082688	302
bm293	Leaf	PHG35xMo17	""	1	m277	FALSE	PHG35	Mo17	TRUE	32247411	302
bm294	Leaf	PHG39xB73	""	1	m278	FALSE	PHG39	B73	TRUE	34298868	302
bm295	Leaf	PHG39xMo17	""	1	m279	FALSE	PHG39	Mo17	TRUE	36924791	302
bm296	Leaf	PHG47xMo17	""	1	m280	FALSE	PHG47	Mo17	TRUE	32433997	302
bm297	Leaf	PHG50xB73	""	1	m281	FALSE	PHG50	B73	TRUE	34805993	302
bm298	Leaf	PHG50xMo17	""	1	m282	FALSE	PHG50	Mo17	TRUE	33077189	302
bm299	Leaf	PHG72xB73	""	1	m283	FALSE	PHG72	B73	TRUE	34115222	302
bm300	Leaf	PHJ40xB73	""	1	m284	FALSE	PHJ40	B73	TRUE	36023138	302
bm301	Leaf	PHJ40xMo17	""	1	m285	FALSE	PHJ40	Mo17	TRUE	38693223	302
