SampleID	Tissue	Genotype	Treatment	Replicate	inbred	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
bm305	Seedling	MoGxMo17	NA	1	FALSE	30163504	24904903	5216136	24823	17642	27341788	1703823	1100251	20925920	3912053	1240425	284854	1112723
bm306	Endosperm	MoGxMo17	NA	1	FALSE	36172369	33224978	2908836	27687	10868	32280932	3188239	692330	26973119	9922013	2268183	373700	759411
bm307	Internode	MoGxMo17	NA	1	FALSE	30659327	27493401	3138208	19810	7908	28698080	1150318	803021	24298700	2663749	1143146	309474	813641
bm308	Leaf	MoGxMo17	NA	1	FALSE	29624562	25657009	3922920	32277	12356	27245754	1365334	1001118	47191339	0	2998764	618786	2239875
bm309	Root	MoGxMo17	NA	1	FALSE	34501058	30036344	4416632	34025	14057	31760689	1430157	1296155	25818885	3420033	1440997	358209	1281103
bm310	Endosperm	NC230xB73	NA	1	FALSE	37225021	31571096	5589091	48976	15858	31981375	3341868	1885920	24568716	9993632	1809688	629535	2113250
bm311	Endosperm	NC230xB73	NA	2	FALSE	40880366	32735683	8066634	57295	20754	35543409	3670322	1645881	25566626	11832762	2043002	743774	1639003
bm312	Endosperm	NC230xMo17	NA	1	FALSE	34608147	31498617	3066611	31394	11525	31128375	2195244	1273003	26337471	6541883	1459293	497128	1320693
bm313	Endosperm	NC230xPH207	NA	1	FALSE	30133176	27592897	2506109	24211	9959	26460139	2470234	1192844	22398295	7637477	1430989	413247	1224085
bm314	Internode	NKH8431xB73	NA	1	FALSE	35151898	32547811	2565979	29058	9050	33588354	1043181	511313	29378633	2342460	1353881	369888	593538
bm315	Leaf	NKH8431xB73	NA	1	FALSE	42629540	35979730	6565023	55259	29528	38967206	1903031	1729775	65293294	0	5559700	900212	3916320
bm316	Root	NKH8431xB73	NA	1	FALSE	28965014	25814396	3111846	29165	9607	26841714	822681	1291012	22605544	1887420	1007124	284417	1282358
bm317	Seedling	NKH8431xB73	NA	1	FALSE	28443774	22666252	5747347	14616	15559	25662966	1110897	1654352	19186479	2396296	789191	281364	1517601
bm318	Endosperm	NKH8431xMo17	NA	1	FALSE	39333610	34353125	4930210	36638	13637	35663547	2791547	864879	28702957	7322569	1779401	663753	1130155
bm319	Endosperm	NKH8431xPH207	NA	1	FALSE	27609068	23151884	4421164	23264	12756	24866047	2137614	592651	18930820	5251087	1547969	385788	840249
bm320	Internode	NKS8326xB73	NA	1	FALSE	30702107	25093463	5571837	22109	14698	28863958	931565	891886	22025996	2122698	1026373	284772	843309
bm321	Leaf	NKS8326xB73	NA	1	FALSE	48172928	41197683	6886671	57924	30650	42774178	2596145	2771955	33622201	5758507	2483488	407347	2957164
bm322	Root	NKS8326xB73	NA	1	FALSE	32151657	28670587	3435600	33337	12133	30182614	1040168	916742	25372467	2393065	1208049	307952	980326
bm323	Endosperm	NKS8326xB73	NA	1	FALSE	34229142	30616838	3568915	31444	11945	30950795	2359230	907172	25302475	5722658	1655915	707517	1008056
bm324	Seedling	NKS8326xB73	NA	1	FALSE	31977599	28260362	3689261	19522	8454	30040524	1233011	695610	25281313	2728363	915403	339089	785639
bm325	Seedling	NKS8326xMo17	NA	1	FALSE	31737327	23784102	7916977	18530	17718	28918288	1391619	1409702	47342033	0	2615547	658149	2726864
bm326	Internode	NKS8326xMo17	NA	1	FALSE	30197513	27534917	2630331	22903	9362	28259837	1175549	752765	24235447	2594775	1194643	337953	828263
bm327	Leaf	NKS8326xMo17	NA	1	FALSE	48038462	41078390	6877892	55396	26784	43943380	2343521	1724776	35443175	5211326	1651951	434045	1863402
bm328	Root	NKS8326xMo17	NA	1	FALSE	33829330	29233882	4549322	32013	14113	31044166	1503614	1267437	53255984	0	3700533	892367	2771472
bm329	Endosperm	NKS8326xMo17	NA	1	FALSE	34215586	31049214	3122448	32074	11850	30004393	3081157	1118186	24544898	7063189	1904848	763432	1396956
bm330	Endosperm	NKS8326xPH207	NA	1	FALSE	33393815	29833007	3525553	26317	8938	29464641	3109724	810512	23788803	7502683	1927526	596764	1042950
bm331	Endosperm	Ny821xB73	NA	1	FALSE	33932096	30025720	3872470	24408	9498	30394699	2537445	990454	24533431	7098403	1958023	364739	1087191
bm332	Endosperm	Ny821xMo17	NA	1	FALSE	32691585	29871950	2782409	26857	10369	29392619	2593813	694784	24587094	7240510	1947127	323349	759013
bm333	Endosperm	Ny821xPH207	NA	1	FALSE	35898813	32165905	3694976	28682	9250	31835765	3048728	1005070	26015580	8519992	2200521	313776	1104428
bm334	Endosperm	Oh43xB73	NA	1	FALSE	31223360	27751371	3438633	22910	10446	27786230	2864041	562643	45758477	0	5400048	1335451	1326472
bm335	Internode	Oh43xB73	NA	1	FALSE	28032675	25717242	2288432	19772	7229	26557826	855545	612075	22994187	1977286	1051131	329702	624706
bm336	Leaf	Oh43xB73	NA	1	FALSE	51276266	44135808	7062691	51499	26268	45975387	2356360	2918251	76802855	0	7675097	1026599	6015126
bm337	Root	Oh43xB73	NA	1	FALSE	32304229	27925419	4330378	35693	12739	29738168	1061996	1491326	24250847	2388760	1135431	307154	1458465
