Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR611210	33676145.0	98.0	30615184.0	90.91	98.7	11436148.0	11060895.0	11263844.0	146327.0	10403.0	15574.0	0.36	0.03	2.73	0.02	2.12	1746966.0	5.19	539202.0	1.6	0.0	2.07	0.23	0	697314	77479
SRR611211	27874434.0	99.0	25583082.0	91.78	99.45	9676490.0	9343120.0	9532310.0	122327.0	8440.0	13413.0	0.39	0.03	2.74	0.03	2.2	1494318.0	5.36	351217.0	1.26	0.0	1.39	0.21	0	387304	58513
SRR611212	25307855.0	99.0	23389586.0	92.42	99.3	8718756.0	8417816.0	8588871.0	110612.0	7882.0	11391.0	0.38	0.03	2.76	0.02	2.2	1350564.0	5.34	228796.0	0.9	0.0	1.17	0.17	0	295913	42996
SRR611213	26721332.0	99.0	24634236.0	92.19	99.88	9287672.0	8967153.0	9149559.0	116639.0	8330.0	13144.0	0.35	0.03	2.72	0.02	2.16	1426867.0	5.34	275181.0	1.03	0.0	1.24	0.2	0	331569	53479
SRR611214	33905548.0	100.0	31389142.0	92.58	99.96	11906355.0	11496507.0	11728816.0	147807.0	10435.0	19297.0	0.36	0.04	2.74	0.03	2.21	1750775.0	5.16	263917.0	0.78	0.0	1.34	0.14	0	454255	47459
SRR611215	29440471.0	98.0	27269726.0	92.63	98.81	10400604.0	10049083.0	10245560.0	130733.0	9482.0	14829.0	0.35	0.03	2.76	0.02	2.15	1564346.0	5.31	241867.0	0.82	0.0	1.07	0.17	0	314556	49976
SRR611216	34764618.0	98.0	32280619.0	92.85	98.82	12193315.0	11790192.0	12016999.0	151420.0	10481.0	14415.0	0.28	0.02	2.79	0.02	2.0	1802368.0	5.18	280247.0	0.81	0.0	1.0	0.16	0	346021	55363
SRR611217	35933409.0	99.0	33274017.0	92.6	98.96	12644686.0	12214252.0	12459716.0	157913.0	11067.0	15990.0	0.32	0.03	2.72	0.02	2.07	1923872.0	5.35	262964.0	0.73	0.0	1.16	0.16	0	415276	57280
SRR611218	32415465.0	92.0	29878374.0	92.17	92.76	10833604.0	10486555.0	10673190.0	137696.0	10378.0	12340.0	0.31	0.03	2.59	0.02	1.97	1832848.0	5.65	275513.0	0.85	0.0	1.12	0.2	0	363771	64959
SRR611219	30303024.0	99.0	28110401.0	92.76	99.08	10721224.0	10366716.0	10566978.0	133050.0	9482.0	11714.0	0.28	0.02	2.7	0.02	2.03	1564838.0	5.16	265908.0	0.88	0.0	1.03	0.17	0	310611	51266
SRR611220	33143826.0	99.0	30764019.0	92.82	99.27	11803674.0	11412514.0	11632980.0	146613.0	10607.0	13474.0	0.29	0.02	2.71	0.02	2.02	1725206.0	5.21	266382.0	0.8	0.0	1.02	0.15	0	338447	49772
SRR611221	37069331.0	98.0	34321657.0	92.59	98.87	12972073.0	12528661.0	12778396.0	164090.0	11949.0	17638.0	0.35	0.03	2.75	0.02	2.17	1990353.0	5.37	254341.0	0.69	0.0	1.21	0.14	0	450819	52161
SRR611243	31697614.0	98.0	29410571.0	92.78	98.8	11114348.0	10741682.0	10951495.0	138523.0	10049.0	14281.0	0.32	0.03	2.66	0.02	2.11	1638434.0	5.17	268042.0	0.85	0.0	1.04	0.16	0	329825	50742
SRR611246	23366383.0	98.0	21711489.0	92.92	98.91	8193117.0	7920075.0	8071579.0	103900.0	7320.0	10318.0	0.32	0.03	2.63	0.02	2.09	1197552.0	5.13	198507.0	0.85	0.0	0.96	0.15	0	223857	34978
SRR611247	37532687.0	98.0	34919903.0	93.04	98.89	13259288.0	12808350.0	13069563.0	163193.0	11866.0	14666.0	0.28	0.02	2.63	0.02	1.95	1940378.0	5.17	271874.0	0.72	0.0	0.92	0.15	0	344383	56149
SRR611252	29853263.0	98.0	27499887.0	92.12	98.93	10256497.0	9910313.0	10103646.0	131565.0	9574.0	11712.0	0.27	0.02	2.63	0.02	2.01	1579415.0	5.29	346938.0	1.16	0.0	1.21	0.22	0	361327	65696
SRR611253	30242334.0	98.0	27721360.0	91.66	98.98	10685778.0	10314786.0	10524284.0	133979.0	10207.0	17308.0	0.4	0.04	2.82	0.03	2.21	1653862.0	5.47	312286.0	1.03	0.0	1.65	0.18	0	500253	54573
SRR611259	32019014.0	99.0	29796976.0	93.06	99.04	11386517.0	11009623.0	11218890.0	144728.0	10175.0	12724.0	0.27	0.02	2.63	0.02	2.06	1655413.0	5.17	198806.0	0.62	0.0	1.01	0.14	0	323041	44778
SRR611262	29854125.0	99.0	27629838.0	92.55	99.11	10578096.0	10229242.0	10419113.0	135549.0	9683.0	13751.0	0.32	0.03	2.65	0.02	2.07	1604811.0	5.38	235472.0	0.79	0.0	1.12	0.17	0	333399	50605
SRR611264	27060689.0	99.0	25008384.0	92.42	99.07	9417282.0	9086721.0	9277800.0	117592.0	8466.0	13424.0	0.37	0.03	2.72	0.02	2.16	1471864.0	5.44	205198.0	0.76	0.0	1.21	0.17	0	329017	46226
SRR611265	31379630.0	99.0	29107171.0	92.76	99.2	10938988.0	10562456.0	10774873.0	139261.0	9829.0	15025.0	0.34	0.03	2.73	0.02	2.09	1645516.0	5.24	237042.0	0.76	0.0	1.09	0.15	0	342736	47165
SRR611266	36140571.0	92.0	33308987.0	92.17	92.62	11909105.0	11524759.0	11733819.0	150781.0	10586.0	13919.0	0.32	0.03	2.58	0.02	1.95	2080888.0	5.76	301160.0	0.83	0.0	1.06	0.19	0	381207	68329
SRR611268	28152274.0	92.0	25860611.0	91.86	92.79	9201930.0	8896133.0	9063573.0	116869.0	8195.0	13293.0	0.38	0.03	2.67	0.02	2.12	1651925.0	5.87	215275.0	0.76	0.0	1.3	0.2	0	367868	56595
SRR611269	31725274.0	96.0	28940418.0	91.22	96.61	10888978.0	10523679.0	10725804.0	135926.0	9968.0	17280.0	0.43	0.04	2.76	0.03	2.17	1778734.0	5.61	293411.0	0.92	0.0	2.07	0.18	0	655694	57017
SRR611270	41433614.0	92.0	38065788.0	91.87	92.84	13698768.0	13246013.0	13499243.0	171810.0	12118.0	15597.0	0.32	0.03	2.58	0.02	2.03	2369710.0	5.72	402699.0	0.97	0.0	1.21	0.22	0	503814	91603
SRR611271	35811129.0	92.0	32871308.0	91.79	92.66	11633854.0	11245419.0	11460662.0	147929.0	10804.0	14459.0	0.32	0.03	2.56	0.02	1.96	2061993.0	5.76	367316.0	1.03	0.0	1.21	0.21	0	435014	75498
SRR611272	21197871.0	91.0	19530060.0	92.13	91.9	6752233.0	6521687.0	6651823.0	86206.0	5899.0	8305.0	0.35	0.03	2.64	0.02	2.1	1203890.0	5.68	180542.0	0.85	0.0	1.15	0.19	0	243198	40181
SRR611273	29602610.0	92.0	27331101.0	92.33	92.75	9687725.0	9367812.0	9545013.0	122887.0	8761.0	11064.0	0.3	0.02	2.63	0.02	1.96	1652023.0	5.58	202674.0	0.68	0.0	1.24	0.17	0	366558	50254
SRR611274	31513608.0	92.0	28634981.0	90.87	92.57	10002743.0	9662845.0	9853298.0	126354.0	9204.0	13887.0	0.35	0.03	2.67	0.02	2.03	1804616.0	5.73	471828.0	1.5	0.0	1.61	0.3	0	507599	94584
SRR611275	31191373.0	99.0	28951772.0	92.82	99.21	11077541.0	10705191.0	10915826.0	140260.0	9761.0	11694.0	0.29	0.02	2.6	0.02	2.08	1611509.0	5.17	265208.0	0.85	0.0	1.0	0.16	0	312831	50053
SRR611276	27925817.0	99.0	25797428.0	92.38	99.48	9664320.0	9325542.0	9519843.0	122572.0	8793.0	13112.0	0.35	0.03	2.76	0.02	2.16	1514983.0	5.43	248420.0	0.89	0.0	1.13	0.17	0	317257	47729
SRR611277	30876901.0	96.0	28495573.0	92.29	96.9	10403979.0	10052076.0	10249508.0	131971.0	9225.0	13275.0	0.33	0.03	2.7	0.02	2.05	1678004.0	5.43	263835.0	0.85	0.0	1.25	0.17	0	386874	52615
SRR611278	26413272.0	97.0	24171504.0	91.51	97.26	9149809.0	8845301.0	9013027.0	118424.0	8390.0	9968.0	0.29	0.02	2.65	0.02	1.96	1415052.0	5.36	343990.0	1.3	0.0	1.59	0.24	0	419418	63308
SRR611287	26609771.0	99.0	24662424.0	92.68	99.44	9295355.0	8970552.0	9156772.0	118848.0	7980.0	11755.0	0.34	0.03	2.77	0.02	2.16	1416421.0	5.32	167849.0	0.63	0.0	1.21	0.15	0	323032	40045
SRR611288	36595450.0	99.0	33970824.0	92.83	99.29	12665574.0	12225822.0	12478319.0	158146.0	11162.0	17947.0	0.33	0.03	2.77	0.02	2.15	1909246.0	5.22	259185.0	0.71	0.0	1.1	0.15	0	401452	54743
